City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kosaya Gora,RU,54.119,37.5446,39.65,86,24,8.34,few clouds
80,Ilulissat,GL,69.2167,-51.1,42.82,56,100,13.8,overcast clouds
81,Mar Del Plata,AR,-38.0023,-57.5575,63.88,45,0,11.5,clear sky
82,Araouane,ML,18.9048,-3.5265,80.8,11,0,8.05,clear sky
83,Norman Wells,CA,65.282,-126.8329,32.04,74,75,11.5,light snow
84,Vestmannaeyjar,IS,63.4427,-20.2734,46.53,77,72,1.79,broken clouds
85,Longyearbyen,SJ,78.2186,15.6401,3.04,60,40,14.97,scattered clouds
86,Yellowknife,CA,62.456,-114.3525,50.52,40,20,11.5,few clouds
87,Jaicos,BR,-7.3592,-41.1378,90.54,27,36,6.91,scattered clouds
88,Olinda,BR,-8.0089,-34.8553,83.93,70,40,10.36,scattered clouds
89,Sambava,MG,-14.2667,50.1667,74.44,91,9,3.74,clear sky
90,College,US,64.8569,-147.8028,49.98,40,40,5.75,scattered clouds
91,Bougouni,ML,11.417,-7.479,92.93,30,64,6.8,broken clouds
92,Abu Kamal,SY,34.4506,40.9171,77.74,35,0,8.68,clear sky
93,Lensk,RU,60.7253,114.9278,17.08,97,11,1.36,few clouds
94,North Bend,US,43.4065,-124.2243,58.91,77,0,10.36,clear sky
95,Camacha,PT,33.0833,-16.3333,60.22,72,20,10.36,few clouds
96,New Norfolk,AU,-42.7826,147.0587,55.9,88,100,1.54,overcast clouds
97,Saint-Philippe,RE,-21.3585,55.7679,72.99,79,45,1.86,scattered clouds
98,Manono,CD,-7.3,27.4167,70.29,96,93,1.7,moderate rain
99,Keti Bandar,PK,24.1447,67.4497,81.72,80,2,9.44,clear sky
100,Tharad,IN,24.3961,71.6267,84.42,53,0,10.65,clear sky
101,Hun,LY,29.1268,15.9477,86.67,12,0,26.96,clear sky
102,Kargasok,RU,59.0556,80.8572,44.17,79,96,11.23,overcast clouds
103,Coahuayana,MX,18.7333,-103.6833,91.6,36,0,8.16,clear sky
104,Kushmurun,KZ,52.4503,64.6311,58.46,52,80,10.04,broken clouds
105,Korla,CN,41.7597,86.1469,58.33,50,100,18.81,overcast clouds
106,Shuangyang,CN,43.5242,125.6736,42.89,26,100,4.23,overcast clouds
107,Yeppoon,AU,-23.1333,150.7333,65.98,84,1,12.97,clear sky
108,Malakal,SS,9.5334,31.6605,91.45,32,32,4.21,scattered clouds
109,Thabazimbi,ZA,-24.5917,27.4116,64.2,68,77,4.5,broken clouds
110,Gat,IL,31.61,34.7642,72.39,64,1,5.17,clear sky
111,Abbeville,FR,50.1,1.8333,49.48,79,18,13.58,few clouds
112,Jamestown,US,42.097,-79.2353,31.17,67,100,13.8,overcast clouds
113,Fandriana,MG,-20.2333,47.3833,58.24,98,96,1.19,overcast clouds
114,Ust-Omchug,RU,61.15,149.6333,7.97,92,99,8.1,overcast clouds
115,Mountain Home,US,43.133,-115.6912,60.28,100,40,9.22,scattered clouds
116,Katsuura,JP,35.1333,140.3,59.41,65,100,25.79,overcast clouds
117,Constitucion,CL,-35.3333,-72.4167,57.11,72,89,8.9,overcast clouds
118,Severo-Kurilsk,RU,50.6789,156.125,35.01,86,32,14.29,scattered clouds
119,Heishan,CN,41.6892,122.1128,51.84,16,100,1.34,overcast clouds
120,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,20,4.61,light rain
121,Kushima,JP,31.4583,131.2333,68.7,92,100,2.37,overcast clouds
122,Chingirlau,KZ,51.095,54.0814,61.11,51,94,13.2,overcast clouds
123,Kodinsk,RU,58.6881,99.1844,23.05,96,36,2.55,scattered clouds
124,Ribeira Grande,PT,38.5167,-28.7,64.8,88,75,20.71,broken clouds
125,Kuruman,ZA,-27.4524,23.4325,60.82,22,80,7.45,broken clouds
126,Komsomolskiy,UZ,40.4272,71.7189,59.72,77,0,4.61,clear sky
127,Shahr-E Babak,IR,30.1165,55.1186,64.65,32,22,3.44,few clouds
128,Saint George,US,37.1041,-113.5841,86.79,11,0,12.66,clear sky
129,Sucua,EC,-2.4667,-78.1667,77.74,78,40,6.91,light rain
130,Gurupa,BR,-1.405,-51.64,82.08,84,93,3.47,light rain
131,Cherskiy,RU,68.75,161.3,26.76,86,100,2.62,overcast clouds
132,Lata,PT,40.1629,-8.3327,57.81,95,85,3.94,overcast clouds
133,Bemidji,US,47.4736,-94.8803,48.06,32,0,14.97,clear sky
134,Mildura,AU,-34.2,142.15,61.07,100,75,3.44,broken clouds
135,Vila Velha,BR,-20.3297,-40.2925,82.35,78,0,9.22,clear sky
136,Krasnoselkup,RU,65.7,82.4667,34.39,99,100,14.16,overcast clouds
137,Yumen,CN,40.2833,97.2,48.38,45,100,5.68,overcast clouds
138,Sitka,US,57.0531,-135.33,48.09,66,75,4.61,broken clouds
139,Ahipara,NZ,-35.1667,173.1667,61.3,69,91,4.52,overcast clouds
140,Thompson,CA,55.7435,-97.8558,46.56,21,0,13.8,clear sky
141,Port Elizabeth,ZA,-33.918,25.5701,61.09,91,0,6.91,clear sky
142,Soyo,AO,-6.1349,12.3689,78.76,89,91,6.98,light rain
143,Bambanglipuro,ID,-7.95,110.2833,76.91,87,100,3.87,overcast clouds
144,Sebezh,RU,56.2955,28.4654,30.07,73,38,4.83,scattered clouds
145,Bonthe,SL,7.5264,-12.505,81.01,79,100,8.23,light rain
146,Hobart,AU,-42.8794,147.3294,56.26,94,75,3.44,fog
147,Palmer,US,42.1584,-72.3287,54.77,39,40,23.02,scattered clouds
148,Lubbock,US,33.6001,-101.8338,82.38,41,75,16.11,broken clouds
149,Kalmunai,LK,7.4167,81.8167,81.07,78,5,6.78,clear sky
150,Roma,US,43.2128,-75.4557,41.5,55,75,20.71,broken clouds
151,Poykovskiy,RU,61.2333,73.3333,46.69,100,100,2.24,fog
152,Cruzeiro Do Sul,BR,-29.5128,-51.9853,89.98,60,1,5.03,clear sky
153,Olkhovka,RU,53.2115,60.6069,59.43,58,100,13.15,overcast clouds
154,Dikson,RU,73.5069,80.5464,30.56,96,100,26.78,light snow
155,East London,ZA,-33.0153,27.9116,62.37,80,0,13.38,clear sky
156,Ulladulla,AU,-35.35,150.4667,61.7,92,64,5.01,broken clouds
157,Lorengau,PG,-2.0226,147.2712,81.75,81,94,10.0,overcast clouds
158,Talnakh,RU,69.4865,88.3972,31.21,95,100,21.41,snow
159,Linxia,CN,35.6003,103.2064,43.12,64,100,0.45,overcast clouds
160,Airai,TL,-8.9266,125.4092,59.2,93,14,1.23,few clouds
161,Anloga,GH,5.7947,0.8973,82.63,82,98,14.54,overcast clouds
162,Pacific Grove,US,36.6177,-121.9166,64.2,70,40,11.99,scattered clouds
163,Ancud,CL,-41.8697,-73.8203,49.28,66,25,19.15,light rain
164,Kalach-Na-Donu,RU,48.691,43.5264,60.94,58,85,13.22,overcast clouds
165,Port Lincoln,AU,-34.7333,135.8667,70.12,49,100,15.48,overcast clouds
166,Torbay,CA,47.6666,-52.7314,43.75,83,75,8.05,broken clouds
167,The Valley,AI,18.217,-63.0578,79.11,53,20,10.36,few clouds
168,Les Cayes,HT,18.2,-73.75,78.6,73,100,5.44,overcast clouds
169,Iquitos,PE,-3.7481,-73.2472,84.24,79,75,8.05,broken clouds
170,Pinotepa Nacional,MX,16.3167,-98.0167,93.87,38,2,13.0,clear sky
171,Batagay-Alyta,RU,67.8006,130.4114,4.33,94,100,4.34,overcast clouds
172,Yaransk,RU,57.3033,47.8861,44.58,92,100,16.15,overcast clouds
173,Makakilo City,US,21.3469,-158.0858,79.12,66,75,16.11,broken clouds
174,Birjand,IR,32.8663,59.2211,61.27,63,20,4.61,few clouds
175,Sahuaripa,MX,29.05,-109.2333,94.96,6,35,15.46,scattered clouds
176,Oriximina,BR,-1.7656,-55.8661,81.34,75,99,4.36,overcast clouds
177,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,81,18,11.61,few clouds
178,Cayenne,GF,4.9333,-52.3333,83.08,1,40,4.0,scattered clouds
179,Igarka,RU,67.4667,86.5833,32.58,98,100,21.54,snow
180,Nalut,LY,30.3333,10.85,79.36,16,36,8.99,scattered clouds
181,Foumban,CM,5.7291,10.9001,64.92,91,90,3.4,overcast clouds
182,Sobolevo,RU,54.4299,31.8996,40.17,72,94,6.13,overcast clouds
183,Shieli,KZ,44.1667,66.75,64.27,19,80,15.97,broken clouds
184,Ponta Do Sol,PT,32.6667,-17.1,64.71,79,12,3.02,few clouds
185,Dingle,PH,10.9995,122.6711,76.86,91,88,5.99,overcast clouds
186,Buckeye,US,33.3703,-112.5838,93.81,6,0,12.57,clear sky
187,Upernavik,GL,72.7868,-56.1549,34.86,77,100,3.15,overcast clouds
188,Hithadhoo,MV,-0.6,73.0833,83.8,74,100,6.67,overcast clouds
189,Fortuna,US,40.5982,-124.1573,60.85,66,20,14.97,few clouds
190,Alofi,NU,-19.0595,-169.9187,78.69,78,40,16.11,scattered clouds
191,Touros,BR,-5.1989,-35.4608,81.39,77,100,12.06,overcast clouds
192,Ville-Marie,CA,47.3335,-79.433,39.56,38,91,14.05,overcast clouds
193,Leningradskiy,RU,69.3833,178.4167,21.6,90,100,10.29,overcast clouds
194,Filadelfia,US,39.9523,-75.1638,55.02,38,75,16.11,broken clouds
195,Rumford,US,44.5537,-70.5509,46.17,83,100,9.06,light rain
196,Margate,GB,51.3813,1.3862,47.7,73,36,7.0,scattered clouds
197,Victoria,HK,22.2855,114.1577,83.32,84,32,8.99,scattered clouds
198,Liepaja,LV,56.5419,21.0367,33.78,64,0,3.44,clear sky
199,Kemijarvi,FI,66.7131,27.4306,27.64,67,96,10.8,overcast clouds
